	genotypesgApc_names	genotypesgApc_logfoldchanges	genotypesgApc_pvals_adj	genotypesgApc_percent_expressed	genotypesgLkb1_names	genotypesgLkb1_logfoldchanges	genotypesgLkb1_pvals_adj	genotypesgLkb1_percent_expressed	genotypesgNT_names	genotypesgNT_logfoldchanges	genotypesgNT_pvals_adj	genotypesgNT_percent_expressed
917	Shisa4	0.15629835	0.35941139935764677	0.15662651	Abhd5	1.1771574	1.535135083436439e-83	0.39776066	Cluh	-0.084937364	0.47098052838400967	0.089038536
918	Mak16	0.13827999	0.36126642971068273	0.19518073	Sar1b	0.8695434	4.101063933092329e-83	0.63748163	Usp43	-0.10680953	0.4646390501264181	0.054620277
919	Dync1i2	0.0836731	0.36273100144981235	0.49518073	Ndufb6	0.732244	6.175452846822392e-83	0.77820605	Aven	-0.102837674	0.45788815155330004	0.066217735
920	Asb6	0.19531971	0.3635701209070331	0.10240964	Stard3nl	0.84801203	5.2785261153546934e-83	0.64329416	Clpb	-0.07592935	0.4546220962865503	0.12270857
921	Tmem184b	0.19228694	0.3649460091494005	0.10963856	Cetn2	0.99399847	4.258441176040084e-83	0.5160304	Slc6a6	-0.048587464	0.44935566853097003	0.27123082
922	Gfer	0.12007179	0.36546366723848794	0.25301206	Phip	1.0000004	4.036423755077655e-83	0.51052374	Tmco1	-0.039066378	0.4456572504273427	0.4047886
923	Ythdf2	0.10571276	0.3655617401913086	0.31325302	Hp	1.2841921	6.146404434677657e-84	0.3533407	Abhd14a	-0.0895431	0.4445915595984044	0.089412645
924	Rnaseh2b	0.21505776	0.3670502723330896	0.091566265	Sptbn1	0.7993325	1.673738671524878e-82	0.7262604	Slc25a26	-0.10639706	0.442055731588675	0.06285073
925	Trim16	0.15930997	0.3679794030509473	0.1493976	Shfm1	0.4872636	4.5574248615889265e-82	0.98904794	Ube2h	-0.05106077	0.44042531434940235	0.26636738
926	Cdca7	0.2299979	0.3689655797038084	0.07951807	Eif5	0.6346515	3.976766848919021e-82	0.91042584	0610030E20Rik	-0.088162705	0.439655254125372	0.09465021
927	Ilkap	0.113230415	0.3705382791712395	0.27108434	Chaf1b	1.5944244	3.429864942204964e-83	0.22326235	Ell	-0.088085584	0.4369419450638609	0.09614665
928	N4bp3	0.17841366	0.3809703408389108	0.11686747	Higd2a	0.6128485	6.050834084769149e-82	0.9256608	Abcf1	-0.043063283	0.43491315412807147	0.3617658
929	Imp3	0.09089403	0.38189988895631544	0.3819277	Pdgfa	0.9241064	2.2193172207781666e-82	0.61251837	Sec31a	-0.053522687	0.43303764354028706	0.24429479
930	Tmem43	0.13081759	0.3820263059965005	0.213253	Glrx3	0.9153358	2.3079776062499577e-82	0.5546378	Sbf1	-0.09066862	0.4322175151851792	0.09053498
931	Haus8	0.18306285	0.3831828004754669	0.10722891	Diaph1	1.0796089	5.0538492124473e-82	0.46855116	Mpi	-0.1005104	0.4311861427846078	0.0781893
932	Cdk18	0.16696636	0.38322927663545653	0.13253012	Ssr4	0.62442607	2.6017270152067657e-81	0.9014929	Ppp1r16a	-0.081927285	0.4277775872596475	0.11747101
933	Bzw2	0.1248187	0.3842139309003597	0.22048193	B230219D22Rik	0.841184	1.9461255462780294e-81	0.6682575	Eef1d	-0.027168205	0.42722153322306833	0.7523382
934	Fbln1	0.22340752	0.3858378199526008	0.0746988	Minos1	0.5823165	5.850576798087739e-81	0.9522149	Skiv2l	-0.08815968	0.4220079320428854	0.10400299
935	Cnn3	0.081550576	0.38708202628410227	0.5036145	Arf5	0.57815254	7.234547320103371e-81	0.95013463	Rrnad1	-0.101831146	0.4218080300326929	0.0748223
936	Atg4d	0.17239618	0.3900968973171246	0.12289157	Btf3l4	0.8209489	3.2295497949734906e-81	0.67627263	Oxnad1	-0.10072378	0.4215301810885367	0.07968575
937	Capn2	0.1089393	0.3909730780743904	0.28915662	Tsc22d3	1.0650012	1.259735200854731e-81	0.4560695	Sco2	-0.096200354	0.4105502729083758	0.089038536
938	Med13l	0.13237491	0.39180331451015826	0.19638555	Pts	1.1147883	2.29424164131152e-81	0.43961087	Ier3	-0.028922008	0.41043615514412524	0.902731
939	Shb	0.1318345	0.3928178622906954	0.19518073	Ssr3	0.6968192	7.292523370984527e-81	0.81497794	Rnf121	-0.08056497	0.4098048823088668	0.12196034
940	Ralbp1	0.07033351	0.39458410605958094	0.5819277	Hp1bp3	0.8898787	7.674152364293582e-81	0.61857563	Diablo	-0.063891776	0.40557369154825945	0.19940142
941	Tmem251	0.1606586	0.3948943395650102	0.13373494	Fyttd1	0.8910099	7.292523370984527e-81	0.59605974	Kmt2c	-0.0916217	0.4011339830696391	0.10325477
942	Enoph1	0.17241634	0.39616674454795514	0.11325301	Hdac3	0.91193795	8.135706327136883e-81	0.57225895	Ifrd2	-0.083676524	0.3939319087794987	0.12345679
943	Pnkd	0.10203991	0.39616674454795514	0.30843374	Rpl24	0.3807633	3.3329734019393308e-80	0.99895984	Abcd4	-0.10724929	0.3889874765091922	0.0781893
944	Cish	0.19600613	0.3971503517698698	0.09638554	Tmprss2	1.1094754	4.6274529648588995e-81	0.42455947	Msto1	-0.0938303	0.3859447252752934	0.104377106
945	A430005L14Rik	0.15411708	0.3971503517698698	0.14578313	Vamp4	1.2756389	3.460417487741935e-81	0.32544053	Tmem41a	-0.12692158	0.3850458364503292	0.057613168
946	Zdhhc9	0.20213364	0.39782393186366233	0.084337346	Chmp1a	0.8561071	1.1249669920128918e-80	0.6363803	Gstm5	-0.063795015	0.3849807909244958	0.21474
947	Fam178a	0.18927957	0.4001011048795632	0.097590365	Nrp1	1.2749487	3.664868578504231e-81	0.3449584	Tigd2	-0.120032676	0.3813733726265948	0.06696595
948	Trim33	0.15456544	0.4001799699442443	0.1373494	Nr2f2	1.2139112	4.394499838018784e-81	0.35774598	2810403A07Rik	-0.06928603	0.3768942800513871	0.1919192
949	Rela	0.1054798	0.40018452799994875	0.28554216	Adarb1	1.8536668	2.112787406689405e-81	0.18875429	Smyd3	-0.11030764	0.3698008741781776	0.081930414
950	4932438A13Rik	0.19119753	0.4019637225572521	0.09277108	Map2k1	0.8379424	2.1083960382227103e-80	0.6640969	Ergic1	-0.05763989	0.36978600486370694	0.27235317
951	Plxnb1	0.22388943	0.4040082889163307	0.06987952	Nipsnap3b	0.9345011	1.846128829369044e-80	0.5558003	Zfp598	-0.10368956	0.3665807395960033	0.092405535
952	Cbl	0.13982166	0.40443002672996997	0.16385542	Hddc2	0.974924	2.115030115590571e-80	0.518233	2700097O09Rik	-0.11414938	0.3660433350998943	0.07332585
953	Lrp5	0.181299	0.4058928285032555	0.104819275	Yrdc	0.82173514	4.437300128757528e-80	0.6626285	Rps20	-0.021862462	0.36456588560745123	0.95997006
954	Tnpo3	0.12927714	0.40689072485898325	0.19397591	Cited4	1.7052416	8.945623074734791e-81	0.20429516	Peo1	-0.12766543	0.362160479134011	0.059483726
955	Mrps7	0.086870715	0.40691316090052576	0.38072288	Aldh1l1	1.4139748	4.2708457668001764e-80	0.29601076	Ldlr	-0.11388777	0.3614437303758719	0.07444818
956	Klhl9	0.12464478	0.4073463057865004	0.21084337	Caprin1	0.79801536	1.8087173666950238e-79	0.6846549	Me1	-0.047588576	0.36030255988255694	0.3872054
957	Ano10	0.24110146	0.40801818425457514	0.059036143	Nqo2	1.130792	9.480030532379109e-80	0.40920216	Fen1	-0.10136603	0.35367098495332444	0.098391324
958	Atp6v1b2	0.09771336	0.40826457682781553	0.3253012	Ifnar2	1.2066336	5.9319599196973844e-80	0.33835047	Hook2	-0.08325279	0.3517089964339416	0.14365882
959	Vamp2	0.18922615	0.40826457682781553	0.09277108	Zc3h15	0.7092231	3.037764267457415e-79	0.7962555	Atp6v0a1	-0.08986327	0.35088880118325727	0.12644969
960	Mpv17	0.14619404	0.40869884510411714	0.15180723	Samd9l	1.7837855	1.8179732078629234e-80	0.16513705	Phlpp1	-0.12353046	0.34857007202699325	0.06808829
961	Kat6a	0.18184663	0.4089331172267938	0.10120482	Api5	0.9908966	1.8125630090913288e-79	0.5052619	Atn1-1	-0.10032674	0.3469737751188023	0.10662177
962	Nlk	0.19702788	0.4089331172267938	0.084337346	Polr2l	0.72838044	3.163381822050981e-79	0.7589941	Mef2d	-0.09018165	0.34388577871509	0.13168724
963	Sgms1	0.10797182	0.4099062413261707	0.2614458	Med7	1.3581896	7.464545302983084e-80	0.28616005	Arhgap18	-0.10563685	0.3362822477414657	0.09801721
964	Iars2	0.15343113	0.41023200399193366	0.13614458	Manf	0.66456705	4.945719791047995e-79	0.8547479	Rps3	-0.019330367	0.32843418934543867	0.9835391
965	Taok3	0.108707	0.411645847933912	0.25662652	Shc1	1.363656	1.173844023370272e-79	0.2947259	Gtf2h4	-0.09552002	0.32680011611188436	0.12495323
966	Adgrg1	0.13811927	0.41334670570251747	0.16626506	Gm6563	1.4541044	1.0238365607701147e-79	0.2627264	Akr1b3	-0.047802813	0.32673962975684157	0.47138047
967	1500011K16Rik	0.103125766	0.41488098613367713	0.2819277	Zrsr2	0.92393637	3.2928950610599137e-79	0.55910426	Ints5	-0.14088203	0.3255085731338291	0.058361392
968	0610040J01Rik	0.12087672	0.41501210799568344	0.21084337	Sidt2	1.2596608	1.8726688270276618e-79	0.3409202	Ubqln4	-0.11393044	0.3254879644036734	0.08978675
969	Angel2	0.15649486	0.4160233580221279	0.13373494	Nars	0.7058375	6.692015960845465e-79	0.8208517	Ints3	-0.14008471	0.320761232249899	0.060606062
970	Rassf1	0.08709567	0.4160233580221279	0.38433734	Etf1	0.7704065	5.600586066928357e-79	0.71420705	Nup155	-0.14716451	0.31980549516477247	0.05274972
971	Hivep1	0.19828925	0.41718508365850815	0.08313253	Sqstm1	0.6252348	8.776859817337423e-79	0.92229563	Agap3	-0.08843795	0.3197763391110698	0.14552937
972	Adprm	0.21902296	0.41790582173172164	0.06987952	Ngfrap1	0.8250252	6.471772465599635e-79	0.67376405	Antxr2	-0.08343331	0.3162098252174636	0.1567527
973	Gps2	0.12780224	0.4182373225588689	0.1879518	Ykt6	1.0747957	4.428959022981758e-79	0.44921684	Unc119b	-0.106967986	0.31417033971133257	0.10624766
974	Mrpl16	0.14357209	0.4232751424986311	0.14096385	Ndufb4	0.7007461	1.1370119987188276e-78	0.79680616	Gtf2i	-0.07268262	0.3140768556551283	0.21436588
975	Pomp	0.05138448	0.42372794448407014	0.78433734	March7	0.84847397	8.117321123936871e-79	0.6590798	Rab31	-0.1420207	0.31316985281766463	0.06285073
976	Usb1	0.20298609	0.42386049964333233	0.07951807	Tspan1	0.8060599	7.645596466559311e-79	0.73470384	Lmbr1l	-0.1372935	0.3121691809675777	0.061354283
977	Alad	0.10537156	0.42499639579934223	0.2626506	Ndnl2	1.1123688	6.465378471181983e-79	0.42914832	Arhgap35	-0.11953469	0.3119073145866392	0.084549196
978	Lamb2	0.1538675	0.4260575395180516	0.13373494	Hspa4	0.78072184	1.4391606059198112e-78	0.69162995	Adrbk1	-0.11492713	0.3112745611104591	0.09016087
979	Lamc1	0.21116485	0.42888194585177686	0.071084335	Tmem50a	0.692251	2.1565439240831213e-78	0.8334557	Setd8	-0.055683427	0.3100604001414001	0.35278714
980	Mtmr14	0.14483015	0.4291652487196488	0.14096385	Sin3b	0.7285031	2.242522254951749e-78	0.7840186	Eepd1	-0.12370946	0.3072044209057028	0.077441074
981	Foxq1	0.080152094	0.42916766042461874	0.46746987	Ube2e3	0.74145967	2.0192978821585097e-78	0.73984337	Hhex	-0.08105325	0.30553502528272547	0.17171717
982	Mfsd11	0.18443157	0.42926077451432554	0.08915663	Rac2	2.1438878	8.498069238221891e-80	0.12291972	Sde2	-0.061934825	0.30437010586075053	0.30153385
983	Fam58b	0.17993979	0.4294973441891646	0.0939759	Lor	1.543526	3.793609382647588e-79	0.26547968	Hagh	-0.06698674	0.30310259796970473	0.26524505
984	Rab31	0.22434738	0.43091714851841906	0.062650606	Msantd4	1.5391818	4.020397046687216e-79	0.22093734	Mical3	-0.14063032	0.30293063696276923	0.06023195
985	Vps26b	0.17934743	0.43101374602976356	0.0939759	Hnrnph2	1.0237345	1.4947472297145641e-78	0.46543074	Csgalnact2	-0.13198198	0.30258761258662886	0.077441074
986	Phf14	0.119549654	0.43187752603958235	0.20240964	Carhsp1	0.87239325	2.797366796043964e-78	0.59942484	Hsf1	-0.11942288	0.3019409044624244	0.0912832
987	Gba	0.16453052	0.4329608845739991	0.10722891	Fopnl	1.0798401	2.0788129622940543e-78	0.43343124	Dtd1	-0.11034962	0.2999120103167206	0.10624766
988	Bloc1s6	0.16123374	0.43474584863305515	0.11566265	Iqgap2	1.1314131	2.2188007578812866e-78	0.4043074	Unc93b1	-0.1366563	0.296759741830993	0.07295174
989	Acd	0.15472923	0.4362327817998164	0.119277105	Rbbp4	0.8462382	4.294298549233836e-78	0.6164954	Tob2	-0.07284115	0.29363070579345996	0.23157501
990	Igf2r	0.18123966	0.43765510157087667	0.08915663	Herc4	1.5704963	8.618987217814679e-79	0.21800049	Sep15	-0.038276292	0.2912150372858911	0.6891134
991	Farp1	0.16311659	0.437739321485411	0.110843375	Pcnp	0.7637198	6.263156524337897e-78	0.72607684	Preb	-0.07723716	0.2854250556321578	0.21474
992	Hexb	0.15798765	0.4386924473913869	0.11566265	Sra1	0.7870819	7.9220217943981755e-78	0.6957905	Ccdc112	-0.13977382	0.28375908403714384	0.06883651
993	Slc25a19	0.16858245	0.4388420753844679	0.10240964	Rtcb	0.81226	8.9000446228127e-78	0.65559226	Ncor2	-0.1138097	0.2817525966634292	0.104751214
994	Cox19	0.10987186	0.4390929999309456	0.22289157	Psmd10	1.0701206	6.427531084123613e-78	0.44591287	Nub1	-0.096679784	0.2780812967612073	0.1500187
995	Pyurf	0.14099309	0.43930295906869327	0.14578313	Ndufb8	0.6029269	1.8876189970286068e-77	0.8971488	Rrp15	-0.081159584	0.2776359195467664	0.19491209
996	Lig3	0.21897092	0.44095608373929523	0.06506024	Txndc9	0.8496288	1.1196440910334468e-77	0.6221243	Ndufa3	-0.04316189	0.27631260217162323	0.6329966
997	Zkscan17	0.20371293	0.44151082134586983	0.06987952	Vma21	1.0150291	9.55002785355229e-78	0.4758321	Kmt2d	-0.12772147	0.2762953192492567	0.08380097
998	Guk1	0.094786055	0.44236007607181027	0.27951807	Rtp4	1.7712287	1.2047120421222937e-78	0.15644886	Ep400	-0.09827073	0.27601980980756335	0.14178826
999	Ppcs	0.16718557	0.4434957217802547	0.106024094	2210016F16Rik	1.0026659	2.4687843240503833e-77	0.48182818	Trabd	-0.07503179	0.2733257835320199	0.2375608
1000	Zfp593	0.12104061	0.4446024590004243	0.18313253	Mettl20	1.8339356	5.05275684968909e-78	0.16941997	Ctage5	-0.07572429	0.27243688972443253	0.23531613
1001	Flywch1	0.2127304	0.44590675180277894	0.06626506	Tnfrsf12a	0.543162	8.791319517859041e-77	0.9758933	Sfta2	-0.11898992	0.2686719748209574	0.09951366
1002	Gadd45b	0.10093297	0.44662238204978716	0.2807229	Zfp428	1.1173362	2.823907806000941e-77	0.40993637	Mapk8ip3	-0.15087959	0.2665967156503972	0.061354283
1003	Pqlc2	0.18855475	0.4473120587996735	0.08192771	Mpst	1.0927051	3.549171450530824e-77	0.44585168	Asap1	-0.08829902	0.26659204492555394	0.17508417
1004	Riok1	0.16788778	0.448092928113068	0.10240964	Sacm1l	1.31875	1.961330702044753e-77	0.2998654	Ubr2	-0.108174875	0.2564770712117509	0.12644969
1005	Zfp704	0.22038458	0.4484658229343904	0.062650606	Rnf138	1.1388011	2.9710757598976775e-77	0.38631913	Lima1	-0.06493322	0.254481415163611	0.34268612
1006	Ptpn12	0.10208268	0.44871546482334007	0.25301206	Arpc3	0.550917	1.5810494662820585e-76	0.9533162	Zcchc11	-0.13212034	0.2529805071023236	0.09016087
1007	Enpp5	0.17498942	0.45263968453317693	0.090361446	Mtap	0.8803999	6.318519192618635e-77	0.5456437	Nt5c3	-0.07107588	0.25006235243441144	0.28806585
1008	Psmd8	0.05713792	0.45299326903280523	0.65180725	Stat3	0.84477705	8.08928324802811e-77	0.618698	Soat1	-0.099320196	0.24874225981862663	0.1563786
1009	Runx2	0.14280689	0.4534941607402575	0.13012049	Scgb3a2	1.6360755	2.9042230274331062e-77	0.21102545	Krr1	-0.10549805	0.24793605886582867	0.14178826
1010	Tradd	0.14850919	0.45385307117350154	0.12530121	Fam110c	1.2839093	4.853281212737305e-77	0.32452276	Fzd5	-0.16307531	0.24736943477476414	0.05499439
1011	Dgkd	0.19853948	0.45420496751502465	0.072289154	1700003F12Rik	1.4794528	2.122091648073356e-77	0.22644396	Ddx19b	-0.16474146	0.24519313056378722	0.05574261
1012	Mrpl19	0.10532158	0.45797942108068973	0.23012048	Glul	0.74647903	1.7453881132822078e-76	0.7788791	Tmco3	-0.1367866	0.2449831287170938	0.08716798
1013	Rchy1	0.09925349	0.4581083998408191	0.25903615	Acer3	1.1063201	1.2338542456684965e-76	0.4255996	Lipa	-0.12786224	0.24469922917618422	0.101384215
1014	Efcab14	0.12867789	0.45849252937538776	0.15662651	Ubqln2	1.3855904	7.698045334700431e-77	0.28310084	Pithd1	-0.10810563	0.24361259868921234	0.1335578
1015	Commd5	0.18955961	0.46020466245888586	0.08192771	Atxn7l3b	0.7419646	2.686592433705181e-76	0.7388644	Carm1	-0.15731676	0.24166243271608953	0.06771418
1016	Abtb1	0.1972038	0.4611088651695742	0.06987952	Acbd6	0.94592017	2.118031758904113e-76	0.51884484	Anxa6	-0.08281856	0.24150999399214962	0.21960345
1017	Bola2	0.060276236	0.4615909920028292	0.5879518	Ndufa2	0.49224055	7.38597430824171e-76	0.9862335	Ing5	-0.13755593	0.2412537830889543	0.08866442
1018	Tuft1	0.13455656	0.46185625336942077	0.14819278	Rassf7	0.99770224	2.240341531342036e-76	0.511931	Scyl1	-0.085328035	0.24014833428530186	0.21361765
1019	Ebpl	0.12746765	0.46185625336942077	0.15662651	Osbpl8	1.792855	4.75513817445134e-77	0.17150025	Rbm15b	-0.13531576	0.23951898487001969	0.089038536
1020	Tmem192	0.13565026	0.4630161649608803	0.13614458	Tmbim4	0.82354546	3.7212599678938324e-76	0.6606706	Fbxo36	-0.15002258	0.23731549434243332	0.07070707
1021	Ptk7	0.09722563	0.4636705604226201	0.25421688	Hspa9	0.650676	5.234670458127844e-76	0.83914584	Adgrg1	-0.105963334	0.2359466475325371	0.1432847
1022	Cenpb	0.11003253	0.46401718836366124	0.20120482	Rnft1	1.1647671	1.815361585486432e-76	0.35701174	Scamp3	-0.09051136	0.23498660409640973	0.1952862
1023	Kras	0.060054414	0.46401718836366124	0.59518075	Il13ra1	1.2904772	1.7070232674577854e-76	0.3073299	Polr2f	-0.043988556	0.23457328458480434	0.6692855
1024	Lamtor3	0.10734307	0.46517614771514176	0.20843373	Vtcn1	1.8597109	1.223641852383786e-76	0.17608908	Manba	-0.15856878	0.23400469453123998	0.066591844
1025	Ocel1	0.15962332	0.46621278361674773	0.10240964	Oas1a	1.8072311	7.358726374306017e-77	0.15797846	Cdip1	-0.14677493	0.23299882545673326	0.08043397
1026	Rbpms	0.07648474	0.46647697312227754	0.3927711	Cnp	1.1266711	4.7572128905815707e-76	0.4042462	Tnip3	-0.06974063	0.23299758762648184	0.3449308
1027	Smim12	0.1207699	0.46818998074662743	0.17228916	Stc2	1.5882355	1.10383129573534e-76	0.19419971	Pdk3	-0.13794923	0.2328088889061173	0.086045645
1028	Nol9	0.21189794	0.4682541875031754	0.057831325	2310011J03Rik	1.0321167	6.179276726828847e-76	0.45912874	Rita1	-0.13963832	0.2315150079288087	0.08342686
1029	Dnajc1	0.10844792	0.4696924500769182	0.20120482	Adam12	2.1157417	1.40753950803226e-76	0.14372246	Gm12166	-0.14048918	0.2312252513071706	0.08679386
1030	Ddah2	0.075880736	0.47055315480147925	0.4120482	Timm8b	0.65181243	1.9723749539614962e-75	0.85615516	Brk1	-0.050182242	0.2312123095612716	0.54807335
1031	Gm26825	0.15229295	0.47242653132251483	0.110843375	Gmps	0.9526711	1.0109388448435698e-75	0.5114415	Gpr89	-0.1443229	0.23113763886523653	0.0781893
1032	Rgs3	0.16490306	0.47242653132251483	0.09277108	H2afz	0.52018946	2.436834209580524e-75	0.9799315	Cdt1	-0.15199563	0.23008915750777836	0.07444818
1033	Emc9	0.18887109	0.47516277439587723	0.072289154	Pxdn	1.81507	5.0853531036934035e-76	0.19248654	Msi2	-0.086516276	0.2286116087693397	0.22259633
1034	Rpusd4	0.18702108	0.47520154302567	0.077108435	Eml2	1.07193	1.4506766183530444e-75	0.44377142	2310033P09Rik	-0.13032815	0.22632514223203695	0.096894875
1035	Myo5b	0.20937677	0.47836066569000185	0.057831325	Itpa	0.9041422	1.8599435025735885e-75	0.5419114	Mast2	-0.13916445	0.2248560675409329	0.08754209
1036	Cadm1	0.08562412	0.47997308870833527	0.30722892	Fam129b	0.83377135	2.5626525445068744e-75	0.6177802	2410002F23Rik	-0.12969744	0.22181418604042866	0.10175832
1037	Mrpl38	0.07372777	0.4821001953651197	0.38433734	Tmsb15l	1.7551085	4.076995758215636e-76	0.17241801	Nfatc3	-0.17930305	0.22153880013324292	0.054620277
1038	Cc2d1a	0.14419173	0.4833945816675927	0.11445783	Pafah1b2	0.83557004	3.0906748108099016e-75	0.6095203	Fance	-0.14622156	0.21854253706856583	0.086045645
1039	Hook3	0.13039838	0.4850962415042632	0.13975903	Camkk2	1.4592607	1.0917415376421483e-75	0.2381302	Smtn	-0.17942742	0.2169450223008744	0.051627386
1040	Iscu	0.07561124	0.48625318462536915	0.36506024	Tbrg1	0.7163851	6.403991092281634e-75	0.76321584	Abhd6	-0.14967123	0.2159323800218025	0.08267864
1041	Gnpda2	0.11433705	0.4881852796065455	0.17349398	Pak1ip1	0.7893132	8.29743552172356e-75	0.671745	Larp1b	-0.09115361	0.21395822788791355	0.20800598
1042	Emp3	0.068961956	0.48980912166867896	0.4554217	Psmd6	0.8103769	7.814385012524487e-75	0.6413975	Arl3	-0.093423516	0.21353694177309274	0.19827908
1043	Fam136a	0.09474526	0.4902599552702424	0.23975904	Pttg1ip	0.805811	8.501606883828491e-75	0.6894273	Arf2	-0.13681579	0.21264041991924912	0.09614665
1044	Cyp4f13	0.16612032	0.4906697661070495	0.08674699	Cops5	0.7823242	9.554459840171955e-75	0.672418	Efhd2	-0.07483619	0.21120915834176668	0.30377853
1045	Phf20	0.12224523	0.4937307610330348	0.15301205	Ddx6	0.9933631	8.215471208306805e-75	0.4932697	Cic	-0.12792747	0.2077362924112379	0.10998878
1046	Rps19bp1	0.07115394	0.4939514185412889	0.3987952	Cldn7	0.5242438	3.0416272166676685e-74	0.9839696	Lmf2	-0.13358586	0.20096979328456016	0.10737
1047	Gstt3	0.17035905	0.49454186214461043	0.084337346	Sec63	0.92728144	1.3702858488128634e-74	0.540443	Yy1	-0.06367179	0.1997121350432166	0.42536476
1048	Dennd6a	0.16793165	0.4950098537120829	0.08313253	Trappc3	0.87374973	1.5128758712248173e-74	0.5739109	Hmbox1	-0.17541212	0.1985621644533603	0.06023195
1049	Gtf2h3	0.18230757	0.4950098537120829	0.0686747	Tm9sf2	0.7842015	2.8623862694748274e-74	0.69566816	Pdpk1	-0.10954676	0.19854815946717705	0.15600449
1050	Nelfb	0.095118746	0.49570798201883215	0.23493975	Topors	0.9806938	1.6704118466825285e-74	0.48078805	Phxr4	-0.16983403	0.19834046978722353	0.066217735
1051	Gna12	0.18302752	0.49708581495768506	0.071084335	Tcirg1	1.2962899	1.5785948087892349e-74	0.31020558	Fbxw8	-0.15913832	0.19757394992760344	0.07893752
1052	Gpn3	0.11762367	0.498227632771287	0.15903614	Snrpd3	0.65724415	5.880169011586539e-74	0.809349	Shmt2	-0.10569322	0.19521273184379712	0.16984661
1053	Mtpn	0.057458982	0.498227632771287	0.56987953	Kcnq1	1.557564	1.3918071516771878e-74	0.22650515	Scarb1	-0.18651278	0.19300257746922925	0.056864947
1054	Myo9b	0.17388663	0.4982974730263858	0.07590362	Eif4a3	0.80890566	5.469896540300503e-74	0.63197505	Itpkc	-0.12489866	0.19205948411755253	0.12345679
1055	Irf2	0.11279455	0.49856917735584305	0.17228916	Fam107b	0.7245632	7.136700523847089e-74	0.7607685	Cdk14	-0.16190785	0.1872537095865955	0.07781519
1056	Ppp1r14b	0.05276096	0.4991343607746397	0.63975906	Ranbp2	1.4318132	2.3166103139576777e-74	0.25244737	Dpm3	-0.07080803	0.1846198217064922	0.36625513
1057	Tmem208	0.061280422	0.5003556362839725	0.4939759	Npm1	0.5090739	1.6914336193837685e-73	0.97772884	Sart3	-0.15204845	0.18364009297831305	0.089038536
1058	Rbm38	0.1734553	0.5033168097251894	0.078313254	Arrdc4	1.0969913	6.209016226489715e-74	0.42217326	Nup133	-0.19106174	0.1832909387900369	0.056490835
1059	Relb	0.10019754	0.504618110779386	0.20963855	Clic4	0.8330264	1.4096022954785138e-73	0.60866374	Snx21	-0.14435609	0.18276240867837334	0.09951366
1060	Slc2a1	0.07524078	0.5070913053720971	0.3686747	Fam32a	0.6579126	4.024132411276744e-73	0.83180374	Dyrk1b	-0.18289502	0.18028827484302046	0.06098017
1061	Tmem2	0.12273305	0.5075035045805772	0.14337349	Cfl2	0.91614276	2.297394242207607e-73	0.5233113	Tmem109	-0.11861549	0.18013833991626862	0.14440703
1062	Sirt2	0.10237976	0.508440538263738	0.19156626	Rpl31	0.41884077	7.547520806123828e-73	0.9951664	Myl12b	-0.050319135	0.17998360870568172	0.67302656
1063	Psen2	0.17636153	0.508440538263738	0.071084335	Dnajb1	0.70517683	4.518247775094008e-73	0.82488984	Rbfox2	-0.10464014	0.17953682239620117	0.18443696
1064	Blzf1	0.1780437	0.508440538263738	0.06746988	Ndufa10	0.7225602	9.339103209316182e-73	0.7189794	Nelfe	-0.103317395	0.17805211636984453	0.18967453
1065	Ptk2b	0.1383763	0.5084803686993227	0.11686747	Cetn3	0.77449167	8.786630320554044e-73	0.65840673	Baiap2l1	-0.08838385	0.17792256076613283	0.25215113
1066	Gpn1	0.12598965	0.5101906600863761	0.13253012	Hsdl2	1.1851559	6.084921556483499e-73	0.3603157	Sirt2	-0.10686902	0.17721772232717217	0.18069585
1067	2700097O09Rik	0.16399759	0.5129576904359594	0.08313253	Cnot7	0.852764	1.1393790101996457e-72	0.58614784	Rnf220	-0.1292971	0.17655721506576394	0.124205016
1068	Praf2	0.16831067	0.5140788153067721	0.07951807	Map2k4	1.2388968	5.4278299633218927e-73	0.31987274	Pfkfb4	-0.19484818	0.17545498105101587	0.05574261
1069	Eea1	0.103032574	0.5157380081274023	0.19397591	Uty	1.7453897	1.6141241226950532e-73	0.15198238	Mtmr6	-0.16649286	0.1739566489759107	0.08043397
1070	Sel1l	0.14275156	0.5197289092617335	0.10240964	Ctsb	0.53958684	3.231722743344554e-72	0.9655531	Gemin6	-0.17449151	0.17274705337174384	0.07145529
1071	Llph	0.055887245	0.5198760367341573	0.5385542	Fam63b	1.1281077	8.570350292025146e-73	0.37744737	Icam1	-0.115107685	0.17249078073713983	0.15413393
1072	Nudt1	0.102577366	0.5202356535518345	0.18674698	Mgst1	0.65773267	2.1720744435677605e-72	0.88038427	Senp3	-0.12615423	0.17140251850061722	0.13168724
1073	Rab9	0.07892887	0.5205153093662679	0.29759037	Traf1	1.3186892	1.3467430235417915e-72	0.30592266	Nucb1	-0.0782512	0.17079218035426194	0.32996634
1074	Plekhf1	0.15532199	0.5205153093662679	0.08795181	Tspo	0.4730658	7.636192689394751e-72	0.9861111	Stk40	-0.11751961	0.16945293396910321	0.15151516
1075	Tmem60	0.08282748	0.521281188468561	0.2759036	Arhgap8	1.2639916	2.045469917935641e-72	0.3232379	Fkbp10	-0.15442304	0.1685907595796379	0.08716798
